Period,Year,Quarter,EW_Total_Company_NSA,EW_Compulsory_NSA,EW_CVL_NSA
1984Q1,1984,Q1,3597,1363,2234
1984Q2,1984,Q2,3469,1303,2166
1984Q3,1984,Q3,2721,749,1972
1984Q4,1984,Q4,3934,1845,2089
1985Q1,1985,Q1,3671,1439,2232
1985Q2,1985,Q2,4075,1616,2459
1985Q3,1985,Q3,2987,709,2278
1985Q4,1985,Q4,4165,1997,2168
1986Q1,1986,Q1,3520,1421,2099
1986Q2,1986,Q2,3937,1432,2505
1986Q3,1986,Q3,3036,608,2428
1986Q4,1986,Q4,3912,1743,2169
1987Q1,1987,Q1,3227,1131,2096
1987Q2,1987,Q2,2859,953,1906
1987Q3,1987,Q3,2553,694,1859
1987Q4,1987,Q4,2800,1338,1462
1988Q1,1988,Q1,2603,967,1636
1988Q2,1988,Q2,2414,942,1472
1988Q3,1988,Q3,1747,507,1240
1988Q4,1988,Q4,2663,1251,1412
1989Q1,1989,Q1,2567,854,1713
1989Q2,1989,Q2,2814,1103,1711
1989Q3,1989,Q3,2027,548,1479
1989Q4,1989,Q4,3048,1515,1533
1990Q1,1990,Q1,3327,1267,2060
1990Q2,1990,Q2,3356,1286,2070
1990Q3,1990,Q3,3301,985,2316
1990Q4,1990,Q4,5067,2439,2628
1991Q1,1991,Q1,5440,2076,3364
1991Q2,1991,Q2,5615,2155,3460
1991Q3,1991,Q3,4700,1368,3332
1991Q4,1991,Q4,6072,2769,3303
1992Q1,1992,Q1,6332,2619,3713
1992Q2,1992,Q2,6043,2609,3434
1992Q3,1992,Q3,5577,1710,3867
1992Q4,1992,Q4,6473,2796,3677
1993Q1,1993,Q1,8097,2427,3808
1993Q2,1993,Q2,6409,2052,3149
1993Q3,1993,Q3,5689,1420,2936
1993Q4,1993,Q4,6121,2345,2571
1994Q1,1994,Q1,6216,1806,3081
1994Q2,1994,Q2,5154,1627,2451
1994Q3,1994,Q3,4948,1414,2557
1994Q4,1994,Q4,4710,1750,2042
1995Q1,1995,Q1,4855,1441,2362
1995Q2,1995,Q2,4389,1276,2083
1995Q3,1995,Q3,4491,1387,2243
1995Q4,1995,Q4,4562,1415,2329
1996Q1,1996,Q1,4495,1306,2238
1996Q2,1996,Q2,4147,1270,2063
1996Q3,1996,Q3,4067,1246,2053
1996Q4,1996,Q4,4122,1258,2027
1997Q1,1997,Q1,3961,1232,1920
1997Q2,1997,Q2,3764,1276,1866
1997Q3,1997,Q3,3793,1155,1993
1997Q4,1997,Q4,3754,1072,2096
1998Q1,1998,Q1,3920,1333,1932
1998Q2,1998,Q2,3819,1312,1939
1998Q3,1998,Q3,4024,1275,2048
1998Q4,1998,Q4,3961,1296,2068
1999Q1,1999,Q1,4630,1379,2533
1999Q2,1999,Q2,4196,1294,2296
1999Q3,1999,Q3,3935,1240,2136
1999Q4,1999,Q4,4052,1296,2106
2000Q1,2000,Q1,4004,1210,2285
2000Q2,2000,Q2,3813,1300,2005
2000Q3,2000,Q3,3910,1231,2215
2000Q4,2000,Q4,4003,1184,2273
2001Q1,2001,Q1,4198,1359,2237
2001Q2,2001,Q2,4143,1348,2204
2001Q3,2001,Q3,3804,940,2352
2001Q4,2001,Q4,4282,1028,2462
2002Q1,2002,Q1,4409,1408,2406
2002Q2,2002,Q2,4617,1679,2387
2002Q3,2002,Q3,4394,1390,2385
2002Q4,2002,Q4,4759,1754,2457
2003Q1,2003,Q1,4279,1585,2128
2003Q2,2003,Q2,4308,1470,2305
2003Q3,2003,Q3,3926,1075,2262
2003Q4,2003,Q4,3952,1104,2145
2004Q1,2004,Q1,3951,1208,2101
2004Q2,2004,Q2,3799,1197,1933
2004Q3,2004,Q3,3622,1061,1871
2004Q4,2004,Q4,3746,1118,1903
2005Q1,2005,Q1,3750,1101,1933
2005Q2,2005,Q2,4301,1422,2043
2005Q3,2005,Q3,4234,1454,1953
2005Q4,2005,Q4,3963,1256,1930
2006Q1,2006,Q1,4575,1473,2164
2006Q2,2006,Q2,4045,1263,1926
2006Q3,2006,Q3,4090,1286,1943
2006Q4,2006,Q4,4858,1396,1912
2007Q1,2007,Q1,4079,1384,1898
2007Q2,2007,Q2,3937,1399,1819
2007Q3,2007,Q3,3959,1234,1905
2007Q4,2007,Q4,3707,1148,1858
2008Q1,2008,Q1,4323,1080,2210
2008Q2,2008,Q2,4784,1410,2283
2008Q3,2008,Q3,5305,1467,2587
2008Q4,2008,Q4,6758,1537,3013
2009Q1,2009,Q1,6618,1555,3583
2009Q2,2009,Q2,6308,1520,3575
2009Q3,2009,Q3,5704,1253,3279
2009Q4,2009,Q4,5405,1315,3053
2010Q1,2010,Q1,5152,1325,2901
2010Q2,2010,Q2,5185,1259,2960
2010Q3,2010,Q3,4568,990,2797
2010Q4,2010,Q4,4628,1149,2687
2011Q1,2011,Q1,5155,1055,3218
2011Q2,2011,Q2,5107,1295,2983
2011Q3,2011,Q3,4997,1127,3031
2011Q4,2011,Q4,5002,1405,2784
2012Q1,2012,Q1,5404,1211,3274
2012Q2,2012,Q2,5060,1014,3101
2012Q3,2012,Q3,4546,1021,2853
2012Q4,2012,Q4,4403,946,2768
2013Q1,2013,Q1,4368,956,2733
2013Q2,2013,Q2,4834,1031,3130
2013Q3,2013,Q3,4438,909,2898
2013Q4,2013,Q4,4022,693,2722
2014Q1,2014,Q1,4532,1060,2804
2014Q2,2014,Q2,4003,969,2539
2014Q3,2014,Q3,3835,851,2476
2014Q4,2014,Q4,3880,836,2533
2015Q1,2015,Q1,3800,894,2468
2015Q2,2015,Q2,3824,758,2589
2015Q3,2015,Q3,3439,614,2377
2015Q4,2015,Q4,3486,587,2467
2016Q1,2016,Q1,3714,799,2517
2016Q2,2016,Q2,3751,661,2635
2016Q3,2016,Q3,3491,627,2446
2016Q4,2016,Q4,3714,799,2490
2017Q1,2017,Q1,4158,822,2875
2017Q2,2017,Q2,3499,670,2412
2017Q3,2017,Q3,3500,647,2474
2017Q4,2017,Q4,3412,608,2436
2018Q1,2018,Q1,4074,777,2808
2018Q2,2018,Q2,3971,748,2787
2018Q3,2018,Q3,4219,741,3006
2018Q4,2018,Q4,3786,822,2542
2019Q1,2019,Q1,4517,813,3115
2019Q2,2019,Q2,4238,780,2978
2019Q3,2019,Q3,4311,673,3067
2019Q4,2019,Q4,4099,677,2897
2020Q1,2020,Q1,4078,701,2860
2020Q2,2020,Q2,2884,202,2280
2020Q3,2020,Q3,2681,303,1914
2020Q4,2020,Q4,2988,147,2434
2021Q1,2021,Q1,2442,117,2085
2021Q2,2021,Q2,3144,101,2860
2021Q3,2021,Q3,3897,114,3587
2021Q4,2021,Q4,4576,159,4124
2022Q1,2022,Q1,5204,340,4530
2022Q2,2022,Q2,5511,383,4808
2022Q3,2022,Q3,5457,504,4642
2022Q4,2022,Q4,5949,732,4839
2023Q1,2023,Q1,5956,668,4911
2023Q2,2023,Q2,6401,645,5297
2023Q3,2023,Q3,6010,735,4790
